Training pFedFDA...
Round [1/200]	 Train Loss [1.1144]	 Train Acc [59.37]	 Train Time [71.19]
Round [2/200]	 Train Loss [0.7091]	 Train Acc [74.82]	 Train Time [81.96]
Round [3/200]	 Train Loss [0.4018]	 Train Acc [86.20]	 Train Time [94.84]
Round [4/200]	 Train Loss [0.2781]	 Train Acc [91.03]	 Train Time [62.49]
Round [5/200]	 Train Loss [0.2679]	 Train Acc [91.52]	 Train Time [83.47]
Round [6/200]	 Train Loss [0.2063]	 Train Acc [93.43]	 Train Time [76.54]
Round [7/200]	 Train Loss [0.1856]	 Train Acc [94.16]	 Train Time [75.56]
Round [8/200]	 Train Loss [0.1607]	 Train Acc [94.91]	 Train Time [96.93]
Round [9/200]	 Train Loss [0.1486]	 Train Acc [95.37]	 Train Time [79.00]
Round [10/200]	 Train Loss [0.1501]	 Train Acc [95.38]	 Train Time [73.24]
Round [11/200]	 Train Loss [0.1358]	 Train Acc [95.70]	 Train Time [65.83]
Round [12/200]	 Train Loss [0.1358]	 Train Acc [95.80]	 Train Time [73.08]
Round [13/200]	 Train Loss [0.1324]	 Train Acc [95.87]	 Train Time [51.36]
Round [14/200]	 Train Loss [0.1312]	 Train Acc [95.96]	 Train Time [65.78]
Round [15/200]	 Train Loss [0.1211]	 Train Acc [96.26]	 Train Time [65.62]
Round [16/200]	 Train Loss [0.1088]	 Train Acc [96.67]	 Train Time [95.93]
Round [17/200]	 Train Loss [0.1101]	 Train Acc [96.68]	 Train Time [69.66]
Round [18/200]	 Train Loss [0.1087]	 Train Acc [96.70]	 Train Time [67.47]
Round [19/200]	 Train Loss [0.1086]	 Train Acc [96.72]	 Train Time [62.09]
KL Divergence: μ=17.3196
Round [20/200]	 Train Loss [0.0941]	 Train Acc [97.13]	 Test Loss [0.8091]	 Test Acc [71.75(10.48)]	 Train Time [75.27]
Round [21/200]	 Train Loss [0.0999]	 Train Acc [96.97]	 Train Time [79.84]
Round [22/200]	 Train Loss [0.1009]	 Train Acc [96.94]	 Train Time [75.57]
Round [23/200]	 Train Loss [0.1028]	 Train Acc [96.89]	 Train Time [65.75]
Round [24/200]	 Train Loss [0.0963]	 Train Acc [97.06]	 Train Time [90.28]
Round [25/200]	 Train Loss [0.0917]	 Train Acc [97.22]	 Train Time [91.41]
Round [26/200]	 Train Loss [0.0911]	 Train Acc [97.26]	 Train Time [86.24]
Round [27/200]	 Train Loss [0.0906]	 Train Acc [97.25]	 Train Time [92.36]
Round [28/200]	 Train Loss [0.0853]	 Train Acc [97.47]	 Train Time [77.51]
Round [29/200]	 Train Loss [0.0850]	 Train Acc [97.42]	 Train Time [83.85]
Round [30/200]	 Train Loss [0.0836]	 Train Acc [97.50]	 Train Time [84.08]
Round [31/200]	 Train Loss [0.0817]	 Train Acc [97.54]	 Train Time [96.36]
Round [32/200]	 Train Loss [0.0828]	 Train Acc [97.49]	 Train Time [103.68]
Round [33/200]	 Train Loss [0.0765]	 Train Acc [97.65]	 Train Time [91.90]
Round [34/200]	 Train Loss [0.0760]	 Train Acc [97.75]	 Train Time [67.21]
Round [35/200]	 Train Loss [0.0777]	 Train Acc [97.69]	 Train Time [114.92]
Round [36/200]	 Train Loss [0.0816]	 Train Acc [97.57]	 Train Time [94.99]
