Training FedAvg...
Round [1/200]	 Train Loss [1.5258]	 Train Acc [46.35]	 Train Time [55.15]
Round [2/200]	 Train Loss [1.1887]	 Train Acc [57.47]	 Train Time [39.41]
Round [3/200]	 Train Loss [1.1078]	 Train Acc [60.37]	 Train Time [39.56]
Round [4/200]	 Train Loss [1.0207]	 Train Acc [63.41]	 Train Time [37.84]
Round [5/200]	 Train Loss [0.9274]	 Train Acc [67.25]	 Train Time [47.54]
Round [6/200]	 Train Loss [0.8284]	 Train Acc [70.17]	 Train Time [39.61]
Round [7/200]	 Train Loss [0.7225]	 Train Acc [74.74]	 Train Time [44.97]
Round [8/200]	 Train Loss [0.6913]	 Train Acc [75.48]	 Train Time [50.12]
Round [9/200]	 Train Loss [0.5793]	 Train Acc [80.03]	 Train Time [39.55]
Round [10/200]	 Train Loss [0.4794]	 Train Acc [83.58]	 Train Time [45.72]
Round [11/200]	 Train Loss [0.4680]	 Train Acc [84.65]	 Train Time [45.57]
Round [12/200]	 Train Loss [0.4101]	 Train Acc [86.48]	 Train Time [53.17]
Round [13/200]	 Train Loss [0.3813]	 Train Acc [87.69]	 Train Time [43.65]
Round [14/200]	 Train Loss [0.3111]	 Train Acc [90.03]	 Train Time [45.08]
Round [15/200]	 Train Loss [0.2917]	 Train Acc [90.91]	 Train Time [40.32]
Round [16/200]	 Train Loss [0.2787]	 Train Acc [91.27]	 Train Time [37.67]
Round [17/200]	 Train Loss [0.3009]	 Train Acc [90.66]	 Train Time [39.81]
Round [18/200]	 Train Loss [0.2525]	 Train Acc [92.28]	 Train Time [26.78]
Round [19/200]	 Train Loss [0.2570]	 Train Acc [92.18]	 Train Time [51.62]
Round [20/200]	 Train Loss [0.2217]	 Train Acc [93.18]	 Test Loss [1.6058|1.5080]	 Test Acc [51.33(14.75)|70.53(11.43)]	 Train Time [49.71]
Round [21/200]	 Train Loss [0.2526]	 Train Acc [92.22]	 Train Time [56.31]
Round [22/200]	 Train Loss [0.2204]	 Train Acc [93.12]	 Train Time [53.95]
Round [23/200]	 Train Loss [0.2222]	 Train Acc [93.28]	 Train Time [44.29]
Round [24/200]	 Train Loss [0.1725]	 Train Acc [94.71]	 Train Time [50.04]
Round [25/200]	 Train Loss [0.2072]	 Train Acc [93.69]	 Train Time [42.37]
Round [26/200]	 Train Loss [0.1908]	 Train Acc [94.17]	 Train Time [41.52]
Round [27/200]	 Train Loss [0.2113]	 Train Acc [93.63]	 Train Time [38.77]
Round [28/200]	 Train Loss [0.1969]	 Train Acc [93.96]	 Train Time [52.79]
Round [29/200]	 Train Loss [0.1947]	 Train Acc [93.96]	 Train Time [52.61]
Round [30/200]	 Train Loss [0.1906]	 Train Acc [94.16]	 Train Time [47.32]
Round [31/200]	 Train Loss [0.1872]	 Train Acc [94.22]	 Train Time [34.99]
Round [32/200]	 Train Loss [0.1791]	 Train Acc [94.59]	 Train Time [45.10]
Round [33/200]	 Train Loss [0.1562]	 Train Acc [95.22]	 Train Time [52.72]
Round [34/200]	 Train Loss [0.1584]	 Train Acc [95.18]	 Train Time [48.09]
Round [35/200]	 Train Loss [0.1588]	 Train Acc [95.12]	 Train Time [43.06]
Round [36/200]	 Train Loss [0.1547]	 Train Acc [95.36]	 Train Time [43.93]
Round [37/200]	 Train Loss [0.1578]	 Train Acc [95.15]	 Train Time [44.77]
Round [38/200]	 Train Loss [0.1637]	 Train Acc [95.10]	 Train Time [58.96]
Round [39/200]	 Train Loss [0.1492]	 Train Acc [95.31]	 Train Time [54.34]
Round [40/200]	 Train Loss [0.1469]	 Train Acc [95.56]	 Test Loss [1.3246|1.3724]	 Test Acc [58.87(10.82)|71.42(10.71)]	 Train Time [36.96]
Round [41/200]	 Train Loss [0.1444]	 Train Acc [95.62]	 Train Time [44.38]
Round [42/200]	 Train Loss [0.1474]	 Train Acc [95.53]	 Train Time [56.39]
Round [43/200]	 Train Loss [0.1381]	 Train Acc [95.77]	 Train Time [53.30]
Round [44/200]	 Train Loss [0.1285]	 Train Acc [96.12]	 Train Time [45.25]
Round [45/200]	 Train Loss [0.1245]	 Train Acc [96.26]	 Train Time [50.30]
Round [46/200]	 Train Loss [0.1316]	 Train Acc [96.03]	 Train Time [50.09]
Round [47/200]	 Train Loss [0.1331]	 Train Acc [95.91]	 Train Time [47.87]
Round [48/200]	 Train Loss [0.1240]	 Train Acc [96.21]	 Train Time [42.29]
Round [49/200]	 Train Loss [0.1250]	 Train Acc [96.17]	 Train Time [41.32]
Round [50/200]	 Train Loss [0.1232]	 Train Acc [96.28]	 Train Time [44.57]
Round [51/200]	 Train Loss [0.1305]	 Train Acc [96.07]	 Train Time [50.34]
Round [52/200]	 Train Loss [0.1245]	 Train Acc [96.23]	 Train Time [49.25]
Round [53/200]	 Train Loss [0.1218]	 Train Acc [96.21]	 Train Time [55.60]
Round [54/200]	 Train Loss [0.1348]	 Train Acc [95.92]	 Train Time [25.64]
Round [55/200]	 Train Loss [0.1299]	 Train Acc [96.03]	 Train Time [61.23]
Round [56/200]	 Train Loss [0.1235]	 Train Acc [96.23]	 Train Time [41.40]
Round [57/200]	 Train Loss [0.1163]	 Train Acc [96.44]	 Train Time [43.62]
Round [58/200]	 Train Loss [0.1212]	 Train Acc [96.34]	 Train Time [43.61]
Round [59/200]	 Train Loss [0.1109]	 Train Acc [96.62]	 Train Time [51.78]
Round [60/200]	 Train Loss [0.1204]	 Train Acc [96.32]	 Test Loss [1.3904|1.3064]	 Test Acc [59.85(11.71)|73.48(10.92)]	 Train Time [45.18]
Round [61/200]	 Train Loss [0.1164]	 Train Acc [96.47]	 Train Time [39.44]
Round [62/200]	 Train Loss [0.1152]	 Train Acc [96.46]	 Train Time [46.21]
Round [63/200]	 Train Loss [0.1227]	 Train Acc [96.26]	 Train Time [37.77]
Round [64/200]	 Train Loss [0.1131]	 Train Acc [96.57]	 Train Time [40.65]
Round [65/200]	 Train Loss [0.1136]	 Train Acc [96.51]	 Train Time [42.64]
