Training pFedFDA...
Round [70/200]	 Train Loss [0.0874]	 Train Acc [97.30]	 Train Time [52.85]
Round [71/200]	 Train Loss [0.0911]	 Train Acc [97.21]	 Train Time [70.23]
Round [72/200]	 Train Loss [0.0975]	 Train Acc [97.03]	 Train Time [50.65]
Round [73/200]	 Train Loss [0.0897]	 Train Acc [97.26]	 Train Time [45.06]
Round [74/200]	 Train Loss [0.0925]	 Train Acc [97.17]	 Train Time [46.48]
Round [75/200]	 Train Loss [0.1101]	 Train Acc [96.68]	 Train Time [42.76]
Round [76/200]	 Train Loss [0.0881]	 Train Acc [97.32]	 Train Time [61.80]
Round [77/200]	 Train Loss [0.0899]	 Train Acc [97.23]	 Train Time [53.40]
Round [78/200]	 Train Loss [0.0894]	 Train Acc [97.24]	 Train Time [60.15]
Round [79/200]	 Train Loss [0.0837]	 Train Acc [97.43]	 Train Time [52.71]
KL Divergence: μ=6.6216
Round [80/200]	 Train Loss [0.0977]	 Train Acc [97.07]	 Test Loss [0.8370]	 Test Acc [74.53(11.18)]	 Train Time [41.32]
Round [81/200]	 Train Loss [0.0871]	 Train Acc [97.26]	 Train Time [64.45]
Round [82/200]	 Train Loss [0.0876]	 Train Acc [97.31]	 Train Time [63.10]
Round [83/200]	 Train Loss [0.0962]	 Train Acc [97.03]	 Train Time [41.63]
Round [84/200]	 Train Loss [0.0876]	 Train Acc [97.32]	 Train Time [60.31]
Round [85/200]	 Train Loss [0.0903]	 Train Acc [97.21]	 Train Time [67.64]
Round [86/200]	 Train Loss [0.0911]	 Train Acc [97.19]	 Train Time [59.85]
Round [87/200]	 Train Loss [0.0980]	 Train Acc [97.01]	 Train Time [64.83]
Round [88/200]	 Train Loss [0.0896]	 Train Acc [97.26]	 Train Time [70.55]
Round [89/200]	 Train Loss [0.0840]	 Train Acc [97.40]	 Train Time [43.40]
Round [90/200]	 Train Loss [0.0838]	 Train Acc [97.45]	 Train Time [51.35]
Round [91/200]	 Train Loss [0.0891]	 Train Acc [97.26]	 Train Time [77.16]
Round [92/200]	 Train Loss [0.0914]	 Train Acc [97.19]	 Train Time [57.92]
Round [93/200]	 Train Loss [0.0975]	 Train Acc [97.03]	 Train Time [49.84]
Round [94/200]	 Train Loss [0.0872]	 Train Acc [97.29]	 Train Time [49.87]
Round [95/200]	 Train Loss [0.0796]	 Train Acc [97.54]	 Train Time [60.60]
Round [96/200]	 Train Loss [0.0837]	 Train Acc [97.44]	 Train Time [61.53]
Round [97/200]	 Train Loss [0.0739]	 Train Acc [97.69]	 Train Time [60.29]
Round [98/200]	 Train Loss [0.0813]	 Train Acc [97.51]	 Train Time [48.56]
Round [99/200]	 Train Loss [0.0913]	 Train Acc [97.23]	 Train Time [65.05]
KL Divergence: μ=6.0374
