Training pFedFDA...
Round [1/200]	 Train Loss [1.0040]	 Train Acc [63.99]	 Train Time [98.75]
Round [2/200]	 Train Loss [0.4139]	 Train Acc [85.73]	 Train Time [93.82]
Round [3/200]	 Train Loss [0.2455]	 Train Acc [91.88]	 Train Time [88.38]
Round [4/200]	 Train Loss [0.1823]	 Train Acc [94.21]	 Train Time [113.31]
Round [5/200]	 Train Loss [0.1598]	 Train Acc [94.97]	 Train Time [107.76]
Round [6/200]	 Train Loss [0.1361]	 Train Acc [95.65]	 Train Time [100.36]
Round [7/200]	 Train Loss [0.1283]	 Train Acc [95.97]	 Train Time [101.42]
Round [8/200]	 Train Loss [0.1180]	 Train Acc [96.29]	 Train Time [121.90]
Round [9/200]	 Train Loss [0.1135]	 Train Acc [96.47]	 Train Time [124.10]
Round [10/200]	 Train Loss [0.1071]	 Train Acc [96.63]	 Train Time [85.81]
Round [11/200]	 Train Loss [0.1167]	 Train Acc [96.37]	 Train Time [56.28]
Round [12/200]	 Train Loss [0.0923]	 Train Acc [97.14]	 Train Time [117.00]
Round [13/200]	 Train Loss [0.0900]	 Train Acc [97.18]	 Train Time [85.05]
Round [14/200]	 Train Loss [0.0914]	 Train Acc [97.20]	 Train Time [105.45]
Round [15/200]	 Train Loss [0.0935]	 Train Acc [97.13]	 Train Time [127.33]
Round [16/200]	 Train Loss [0.0843]	 Train Acc [97.42]	 Train Time [131.78]
Round [17/200]	 Train Loss [0.0885]	 Train Acc [97.26]	 Train Time [117.91]
Round [18/200]	 Train Loss [0.0834]	 Train Acc [97.43]	 Train Time [100.91]
Round [19/200]	 Train Loss [0.0820]	 Train Acc [97.47]	 Train Time [111.31]
KL Divergence: μ=16.7102
Round [20/200]	 Train Loss [0.0777]	 Train Acc [97.64]	 Test Loss [0.8231]	 Test Acc [72.50(10.84)]	 Train Time [99.93]
Round [21/200]	 Train Loss [0.0802]	 Train Acc [97.54]	 Train Time [101.12]
Round [22/200]	 Train Loss [0.0778]	 Train Acc [97.63]	 Train Time [79.32]
Round [23/200]	 Train Loss [0.0721]	 Train Acc [97.81]	 Train Time [126.35]
Round [24/200]	 Train Loss [0.0657]	 Train Acc [98.02]	 Train Time [96.45]
Round [25/200]	 Train Loss [0.0694]	 Train Acc [97.93]	 Train Time [91.93]
Round [26/200]	 Train Loss [0.0703]	 Train Acc [97.84]	 Train Time [101.14]
Round [27/200]	 Train Loss [0.0648]	 Train Acc [98.02]	 Train Time [142.56]
Round [28/200]	 Train Loss [0.0688]	 Train Acc [97.94]	 Train Time [97.63]
Round [29/200]	 Train Loss [0.0641]	 Train Acc [98.03]	 Train Time [133.37]
Round [30/200]	 Train Loss [0.0656]	 Train Acc [97.96]	 Train Time [94.19]
Round [31/200]	 Train Loss [0.0649]	 Train Acc [98.03]	 Train Time [134.93]
Round [32/200]	 Train Loss [0.0677]	 Train Acc [97.92]	 Train Time [104.31]
Round [33/200]	 Train Loss [0.0637]	 Train Acc [98.05]	 Train Time [77.30]
Round [34/200]	 Train Loss [0.0596]	 Train Acc [98.24]	 Train Time [75.02]
Round [35/200]	 Train Loss [0.0684]	 Train Acc [97.95]	 Train Time [100.24]
Round [36/200]	 Train Loss [0.0647]	 Train Acc [98.07]	 Train Time [68.01]
Round [37/200]	 Train Loss [0.0613]	 Train Acc [98.17]	 Train Time [87.54]
Round [38/200]	 Train Loss [0.0599]	 Train Acc [98.21]	 Train Time [94.73]
Round [39/200]	 Train Loss [0.0560]	 Train Acc [98.29]	 Train Time [107.57]
KL Divergence: μ=12.1574
Round [40/200]	 Train Loss [0.0616]	 Train Acc [98.14]	 Test Loss [0.7925]	 Test Acc [73.45(10.34)]	 Train Time [108.52]
Round [41/200]	 Train Loss [0.0602]	 Train Acc [98.17]	 Train Time [118.20]
Round [42/200]	 Train Loss [0.0587]	 Train Acc [98.24]	 Train Time [98.07]
Round [43/200]	 Train Loss [0.0578]	 Train Acc [98.25]	 Train Time [114.27]
Round [44/200]	 Train Loss [0.0549]	 Train Acc [98.34]	 Train Time [109.28]
Round [45/200]	 Train Loss [0.0528]	 Train Acc [98.41]	 Train Time [119.83]
Round [46/200]	 Train Loss [0.0604]	 Train Acc [98.11]	 Train Time [77.89]
Round [47/200]	 Train Loss [0.0586]	 Train Acc [98.25]	 Train Time [96.37]
Round [48/200]	 Train Loss [0.0634]	 Train Acc [98.11]	 Train Time [70.14]
Round [49/200]	 Train Loss [0.0498]	 Train Acc [98.53]	 Train Time [89.72]
Round [50/200]	 Train Loss [0.0567]	 Train Acc [98.30]	 Train Time [81.51]
Round [51/200]	 Train Loss [0.0569]	 Train Acc [98.30]	 Train Time [107.48]
Round [52/200]	 Train Loss [0.0506]	 Train Acc [98.48]	 Train Time [100.37]
Round [53/200]	 Train Loss [0.0511]	 Train Acc [98.40]	 Train Time [98.27]
Round [54/200]	 Train Loss [0.0539]	 Train Acc [98.38]	 Train Time [98.59]
Round [55/200]	 Train Loss [0.0529]	 Train Acc [98.39]	 Train Time [127.96]
Round [56/200]	 Train Loss [0.0580]	 Train Acc [98.21]	 Train Time [82.32]
Round [57/200]	 Train Loss [0.0502]	 Train Acc [98.48]	 Train Time [122.15]
Round [58/200]	 Train Loss [0.0508]	 Train Acc [98.46]	 Train Time [108.68]
Round [59/200]	 Train Loss [0.0505]	 Train Acc [98.46]	 Train Time [95.88]
KL Divergence: μ=7.6915
