Training FedAvg...
Round [1/200]	 Train Loss [1.4270]	 Train Acc [48.60]	 Train Time [86.20]
Round [2/200]	 Train Loss [0.9905]	 Train Acc [64.34]	 Train Time [79.22]
Round [3/200]	 Train Loss [0.6733]	 Train Acc [76.30]	 Train Time [67.82]
Round [4/200]	 Train Loss [0.4156]	 Train Acc [86.00]	 Train Time [80.15]
Round [5/200]	 Train Loss [0.3273]	 Train Acc [89.56]	 Train Time [83.93]
Round [6/200]	 Train Loss [0.2124]	 Train Acc [93.35]	 Train Time [73.28]
Round [7/200]	 Train Loss [0.2338]	 Train Acc [92.66]	 Train Time [62.81]
Round [8/200]	 Train Loss [0.1746]	 Train Acc [94.49]	 Train Time [88.84]
Round [9/200]	 Train Loss [0.1764]	 Train Acc [94.55]	 Train Time [83.97]
Round [10/200]	 Train Loss [0.1488]	 Train Acc [95.40]	 Train Time [84.14]
Round [11/200]	 Train Loss [0.1464]	 Train Acc [95.45]	 Train Time [81.65]
Round [12/200]	 Train Loss [0.1347]	 Train Acc [95.88]	 Train Time [93.54]
Round [13/200]	 Train Loss [0.1327]	 Train Acc [95.88]	 Train Time [90.09]
Round [14/200]	 Train Loss [0.1334]	 Train Acc [95.87]	 Train Time [72.33]
Round [15/200]	 Train Loss [0.1279]	 Train Acc [96.04]	 Train Time [75.79]
Round [16/200]	 Train Loss [0.1209]	 Train Acc [96.35]	 Train Time [59.24]
Round [17/200]	 Train Loss [0.1136]	 Train Acc [96.50]	 Train Time [77.09]
Round [18/200]	 Train Loss [0.1225]	 Train Acc [96.34]	 Train Time [69.82]
Round [19/200]	 Train Loss [0.1080]	 Train Acc [96.70]	 Train Time [89.82]
Round [20/200]	 Train Loss [0.1115]	 Train Acc [96.60]	 Test Loss [1.5538|1.7523]	 Test Acc [52.11(13.03)|68.34(12.62)]	 Train Time [86.71]
Round [21/200]	 Train Loss [0.0989]	 Train Acc [96.98]	 Train Time [83.13]
Round [22/200]	 Train Loss [0.1053]	 Train Acc [96.79]	 Train Time [84.73]
Round [23/200]	 Train Loss [0.1016]	 Train Acc [96.88]	 Train Time [105.90]
Round [24/200]	 Train Loss [0.0976]	 Train Acc [97.06]	 Train Time [89.76]
Round [25/200]	 Train Loss [0.0968]	 Train Acc [97.07]	 Train Time [113.91]
Round [26/200]	 Train Loss [0.0979]	 Train Acc [97.03]	 Train Time [76.42]
Round [27/200]	 Train Loss [0.0953]	 Train Acc [97.07]	 Train Time [96.87]
Round [28/200]	 Train Loss [0.0953]	 Train Acc [97.10]	 Train Time [111.66]
Round [29/200]	 Train Loss [0.0947]	 Train Acc [97.11]	 Train Time [60.04]
Round [30/200]	 Train Loss [0.0944]	 Train Acc [97.17]	 Train Time [103.19]
Round [31/200]	 Train Loss [0.0804]	 Train Acc [97.60]	 Train Time [98.19]
Round [32/200]	 Train Loss [0.0846]	 Train Acc [97.43]	 Train Time [73.28]
Round [33/200]	 Train Loss [0.0913]	 Train Acc [97.27]	 Train Time [94.25]
Round [34/200]	 Train Loss [0.0819]	 Train Acc [97.51]	 Train Time [90.41]
Round [35/200]	 Train Loss [0.0857]	 Train Acc [97.39]	 Train Time [65.64]
Round [36/200]	 Train Loss [0.0786]	 Train Acc [97.67]	 Train Time [78.17]
Round [37/200]	 Train Loss [0.0765]	 Train Acc [97.68]	 Train Time [91.43]
Round [38/200]	 Train Loss [0.0794]	 Train Acc [97.63]	 Train Time [92.25]
Round [39/200]	 Train Loss [0.0759]	 Train Acc [97.74]	 Train Time [95.95]
Round [40/200]	 Train Loss [0.0727]	 Train Acc [97.84]	 Test Loss [1.5406|1.5609]	 Test Acc [53.13(13.89)|70.34(10.76)]	 Train Time [98.79]
Round [41/200]	 Train Loss [0.0688]	 Train Acc [97.94]	 Train Time [105.50]
Round [42/200]	 Train Loss [0.0709]	 Train Acc [97.84]	 Train Time [97.09]
Round [43/200]	 Train Loss [0.0716]	 Train Acc [97.85]	 Train Time [79.59]
Round [44/200]	 Train Loss [0.0739]	 Train Acc [97.79]	 Train Time [86.49]
Round [45/200]	 Train Loss [0.0671]	 Train Acc [97.96]	 Train Time [88.71]
Round [46/200]	 Train Loss [0.0696]	 Train Acc [97.90]	 Train Time [88.50]
Round [47/200]	 Train Loss [0.0669]	 Train Acc [98.02]	 Train Time [84.10]
Round [48/200]	 Train Loss [0.0691]	 Train Acc [97.90]	 Train Time [98.82]
Round [49/200]	 Train Loss [0.0736]	 Train Acc [97.81]	 Train Time [96.48]
Round [50/200]	 Train Loss [0.0736]	 Train Acc [97.79]	 Train Time [65.16]
Round [51/200]	 Train Loss [0.0812]	 Train Acc [97.56]	 Train Time [65.37]
Round [52/200]	 Train Loss [0.0665]	 Train Acc [97.99]	 Train Time [78.62]
Round [53/200]	 Train Loss [0.0697]	 Train Acc [97.91]	 Train Time [111.26]
Round [54/200]	 Train Loss [0.0654]	 Train Acc [97.98]	 Train Time [95.06]
Round [55/200]	 Train Loss [0.0726]	 Train Acc [97.85]	 Train Time [73.23]
Round [56/200]	 Train Loss [0.0608]	 Train Acc [98.18]	 Train Time [90.25]
Round [57/200]	 Train Loss [0.0697]	 Train Acc [97.94]	 Train Time [70.85]
Round [58/200]	 Train Loss [0.0625]	 Train Acc [98.15]	 Train Time [98.58]
Round [59/200]	 Train Loss [0.0612]	 Train Acc [98.14]	 Train Time [104.56]
Round [60/200]	 Train Loss [0.0610]	 Train Acc [98.16]	 Test Loss [1.4156|1.4917]	 Test Acc [56.90(11.58)|71.12(11.45)]	 Train Time [109.94]
Round [61/200]	 Train Loss [0.0652]	 Train Acc [98.02]	 Train Time [57.58]
Round [62/200]	 Train Loss [0.0671]	 Train Acc [97.98]	 Train Time [87.67]
Round [63/200]	 Train Loss [0.0598]	 Train Acc [98.16]	 Train Time [109.16]
Round [64/200]	 Train Loss [0.0616]	 Train Acc [98.13]	 Train Time [109.14]
Round [65/200]	 Train Loss [0.0615]	 Train Acc [98.11]	 Train Time [84.28]
Round [66/200]	 Train Loss [0.0586]	 Train Acc [98.22]	 Train Time [120.03]
Round [67/200]	 Train Loss [0.0618]	 Train Acc [98.10]	 Train Time [94.89]
Round [68/200]	 Train Loss [0.0624]	 Train Acc [98.15]	 Train Time [82.63]
Round [69/200]	 Train Loss [0.0589]	 Train Acc [98.23]	 Train Time [114.54]
Round [70/200]	 Train Loss [0.0532]	 Train Acc [98.41]	 Train Time [94.98]
Round [71/200]	 Train Loss [0.0632]	 Train Acc [98.09]	 Train Time [79.28]
Round [72/200]	 Train Loss [0.0600]	 Train Acc [98.17]	 Train Time [91.77]
Round [73/200]	 Train Loss [0.0614]	 Train Acc [98.16]	 Train Time [97.86]
Round [74/200]	 Train Loss [0.0563]	 Train Acc [98.29]	 Train Time [119.73]
Round [75/200]	 Train Loss [0.0608]	 Train Acc [98.17]	 Train Time [94.79]
Round [76/200]	 Train Loss [0.0517]	 Train Acc [98.45]	 Train Time [66.40]
Round [77/200]	 Train Loss [0.0599]	 Train Acc [98.21]	 Train Time [84.00]
Round [78/200]	 Train Loss [0.0587]	 Train Acc [98.23]	 Train Time [102.44]
Round [79/200]	 Train Loss [0.0566]	 Train Acc [98.29]	 Train Time [83.18]
Round [80/200]	 Train Loss [0.0533]	 Train Acc [98.35]	 Test Loss [1.5286|1.4006]	 Test Acc [55.23(12.57)|71.45(12.22)]	 Train Time [94.20]
