Training FedAvg...
Round [70/200]	 Train Loss [0.0706]	 Train Acc [97.84]	 Train Time [71.10]
Round [71/200]	 Train Loss [0.0722]	 Train Acc [97.82]	 Train Time [71.06]
Round [72/200]	 Train Loss [0.0735]	 Train Acc [97.79]	 Train Time [58.62]
Round [73/200]	 Train Loss [0.0772]	 Train Acc [97.69]	 Train Time [58.29]
Round [74/200]	 Train Loss [0.0738]	 Train Acc [97.77]	 Train Time [59.38]
Round [75/200]	 Train Loss [0.0700]	 Train Acc [97.86]	 Train Time [78.93]
Round [76/200]	 Train Loss [0.0737]	 Train Acc [97.78]	 Train Time [72.63]
Round [77/200]	 Train Loss [0.0661]	 Train Acc [97.96]	 Train Time [61.93]
Round [78/200]	 Train Loss [0.0664]	 Train Acc [97.99]	 Train Time [57.89]
Round [79/200]	 Train Loss [0.0759]	 Train Acc [97.70]	 Train Time [72.80]
Round [80/200]	 Train Loss [0.0650]	 Train Acc [98.06]	 Test Loss [1.4046|1.3285]	 Test Acc [59.69(12.41)|73.45(10.41)]	 Train Time [64.39]
Round [81/200]	 Train Loss [0.0650]	 Train Acc [98.05]	 Train Time [72.87]
Round [82/200]	 Train Loss [0.0656]	 Train Acc [98.03]	 Train Time [54.69]
Round [83/200]	 Train Loss [0.0630]	 Train Acc [98.05]	 Train Time [66.08]
Round [84/200]	 Train Loss [0.0641]	 Train Acc [98.06]	 Train Time [58.40]
Round [85/200]	 Train Loss [0.0670]	 Train Acc [97.97]	 Train Time [69.44]
Round [86/200]	 Train Loss [0.0640]	 Train Acc [98.06]	 Train Time [62.17]
Round [87/200]	 Train Loss [0.0601]	 Train Acc [98.17]	 Train Time [71.32]
Round [88/200]	 Train Loss [0.0572]	 Train Acc [98.24]	 Train Time [60.39]
Round [89/200]	 Train Loss [0.0667]	 Train Acc [98.01]	 Train Time [61.96]
Round [90/200]	 Train Loss [0.0645]	 Train Acc [98.02]	 Train Time [74.47]
Round [91/200]	 Train Loss [0.0574]	 Train Acc [98.26]	 Train Time [68.91]
Round [92/200]	 Train Loss [0.0667]	 Train Acc [97.97]	 Train Time [68.11]
Round [93/200]	 Train Loss [0.0530]	 Train Acc [98.41]	 Train Time [76.72]
Round [94/200]	 Train Loss [0.0594]	 Train Acc [98.21]	 Train Time [69.86]
Round [95/200]	 Train Loss [0.0627]	 Train Acc [98.08]	 Train Time [80.38]
Round [96/200]	 Train Loss [0.0602]	 Train Acc [98.16]	 Train Time [59.94]
Round [97/200]	 Train Loss [0.0622]	 Train Acc [98.10]	 Train Time [64.71]
Round [98/200]	 Train Loss [0.0666]	 Train Acc [97.97]	 Train Time [95.34]
Round [99/200]	 Train Loss [0.0673]	 Train Acc [97.97]	 Train Time [64.59]
Round [100/200]	 Train Loss [0.0625]	 Train Acc [98.09]	 Test Loss [1.3919|1.3130]	 Test Acc [59.55(11.69)|73.62(10.89)]	 Train Time [57.78]
Round [101/200]	 Train Loss [0.0554]	 Train Acc [98.28]	 Train Time [70.49]
Round [102/200]	 Train Loss [0.0627]	 Train Acc [98.08]	 Train Time [69.97]
Round [103/200]	 Train Loss [0.0614]	 Train Acc [98.13]	 Train Time [58.67]
Round [104/200]	 Train Loss [0.0606]	 Train Acc [98.18]	 Train Time [75.35]
Round [105/200]	 Train Loss [0.0571]	 Train Acc [98.25]	 Train Time [73.30]
Round [106/200]	 Train Loss [0.0594]	 Train Acc [98.19]	 Train Time [60.12]
Round [107/200]	 Train Loss [0.0613]	 Train Acc [98.15]	 Train Time [64.00]
Round [108/200]	 Train Loss [0.0610]	 Train Acc [98.16]	 Train Time [67.39]
Round [109/200]	 Train Loss [0.0525]	 Train Acc [98.43]	 Train Time [78.57]
Round [110/200]	 Train Loss [0.0573]	 Train Acc [98.25]	 Train Time [71.03]
Round [111/200]	 Train Loss [0.0577]	 Train Acc [98.26]	 Train Time [51.59]
Round [112/200]	 Train Loss [0.0610]	 Train Acc [98.13]	 Train Time [71.97]
Round [113/200]	 Train Loss [0.0558]	 Train Acc [98.31]	 Train Time [48.24]
Round [114/200]	 Train Loss [0.0597]	 Train Acc [98.19]	 Train Time [53.87]
Round [115/200]	 Train Loss [0.0554]	 Train Acc [98.32]	 Train Time [86.19]
Round [116/200]	 Train Loss [0.0501]	 Train Acc [98.50]	 Train Time [60.17]
Round [117/200]	 Train Loss [0.0580]	 Train Acc [98.22]	 Train Time [75.76]
Round [118/200]	 Train Loss [0.0570]	 Train Acc [98.26]	 Train Time [64.10]
Round [119/200]	 Train Loss [0.0580]	 Train Acc [98.24]	 Train Time [65.85]
Round [120/200]	 Train Loss [0.0562]	 Train Acc [98.24]	 Test Loss [1.3530|1.2984]	 Test Acc [61.23(11.32)|73.42(10.00)]	 Train Time [77.34]
Round [121/200]	 Train Loss [0.0556]	 Train Acc [98.31]	 Train Time [66.46]
Round [122/200]	 Train Loss [0.0525]	 Train Acc [98.43]	 Train Time [68.17]
Round [123/200]	 Train Loss [0.0517]	 Train Acc [98.42]	 Train Time [68.14]
Round [124/200]	 Train Loss [0.0576]	 Train Acc [98.27]	 Train Time [62.94]
Round [125/200]	 Train Loss [0.0558]	 Train Acc [98.34]	 Train Time [71.04]
Round [126/200]	 Train Loss [0.0597]	 Train Acc [98.17]	 Train Time [58.86]
Round [127/200]	 Train Loss [0.0574]	 Train Acc [98.26]	 Train Time [77.45]
