Training FedAvg with model cifaredl on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [72/200]	 Train Loss [0.2636]	 Train Acc [91.90%]	 Time [34.19s]
Round [73/200]	 Train Loss [0.2545]	 Train Acc [92.17%]	 Time [30.57s]
Round [74/200]	 Train Loss [0.2625]	 Train Acc [91.91%]	 Time [40.32s]
Round [75/200]	 Train Loss [0.2282]	 Train Acc [93.03%]	 Time [23.35s]
Round [76/200]	 Train Loss [0.2461]	 Train Acc [92.36%]	 Time [38.47s]
Round [77/200]	 Train Loss [0.2433]	 Train Acc [92.58%]	 Time [38.02s]
Round [78/200]	 Train Loss [0.2380]	 Train Acc [92.60%]	 Time [36.77s]
Round [79/200]	 Train Loss [0.2497]	 Train Acc [92.36%]	 Time [36.66s]
Round [80/200]	 Train Loss [0.2407]	 Train Acc [92.56%]	 Time [35.05s]
Round [81/200]	 Train Loss [0.2295]	 Train Acc [93.10%]	 Time [35.51s]
Round [82/200]	 Train Loss [0.2494]	 Train Acc [92.32%]	 Time [25.86s]
Round [83/200]	 Train Loss [0.2421]	 Train Acc [92.72%]	 Time [42.61s]
Round [84/200]	 Train Loss [0.2451]	 Train Acc [92.42%]	 Time [39.64s]
Round [85/200]	 Train Loss [0.2520]	 Train Acc [92.37%]	 Time [39.74s]
Round [86/200]	 Train Loss [0.2185]	 Train Acc [93.32%]	 Time [35.25s]
Round [87/200]	 Train Loss [0.2279]	 Train Acc [93.03%]	 Time [37.41s]
Round [88/200]	 Train Loss [0.2507]	 Train Acc [92.31%]	 Time [32.76s]
Round [89/200]	 Train Loss [0.2360]	 Train Acc [92.80%]	 Time [39.89s]
Round [90/200]	 Train Loss [0.2205]	 Train Acc [93.14%]	 Time [37.52s]
Round [91/200]	 Train Loss [0.2168]	 Train Acc [93.41%]	 Time [35.51s]
Round [92/200]	 Train Loss [0.2201]	 Train Acc [93.33%]	 Time [36.57s]
Round [93/200]	 Train Loss [0.2313]	 Train Acc [92.89%]	 Time [22.09s]
Round [94/200]	 Train Loss [0.2386]	 Train Acc [92.92%]	 Time [33.40s]
Round [95/200]	 Train Loss [0.2462]	 Train Acc [92.57%]	 Time [25.78s]
Round [96/200]	 Train Loss [0.2327]	 Train Acc [92.88%]	 Time [29.71s]
Round [97/200]	 Train Loss [0.2124]	 Train Acc [93.56%]	 Time [43.51s]
Round [98/200]	 Train Loss [0.2396]	 Train Acc [92.68%]	 Time [36.68s]
Round [99/200]	 Train Loss [0.2148]	 Train Acc [93.44%]	 Time [32.96s]
Round [100/200]	 Train Loss [0.1993]	 Train Acc [93.92%]	 Time [49.75s]
Round [101/200]	 Train Loss [0.2187]	 Train Acc [93.34%]	 Time [36.36s]
Round [102/200]	 Train Loss [0.2214]	 Train Acc [93.19%]	 Time [46.10s]
Round [103/200]	 Train Loss [0.2084]	 Train Acc [93.69%]	 Time [38.67s]
Round [104/200]	 Train Loss [0.2156]	 Train Acc [93.50%]	 Time [37.74s]
Round [105/200]	 Train Loss [0.2140]	 Train Acc [93.47%]	 Time [23.17s]
Round [106/200]	 Train Loss [0.2234]	 Train Acc [93.25%]	 Time [40.50s]
Round [107/200]	 Train Loss [0.2061]	 Train Acc [93.77%]	 Time [36.31s]
Round [108/200]	 Train Loss [0.2153]	 Train Acc [93.37%]	 Time [44.37s]
Round [109/200]	 Train Loss [0.1971]	 Train Acc [94.01%]	 Time [39.82s]
Round [110/200]	 Train Loss [0.2066]	 Train Acc [93.64%]	 Time [37.58s]
Round [111/200]	 Train Loss [0.2178]	 Train Acc [93.30%]	 Time [25.94s]
Round [112/200]	 Train Loss [0.2127]	 Train Acc [93.54%]	 Time [35.12s]
Round [113/200]	 Train Loss [0.2038]	 Train Acc [93.74%]	 Time [41.69s]
Round [114/200]	 Train Loss [0.1779]	 Train Acc [94.60%]	 Time [32.59s]
Round [115/200]	 Train Loss [0.2296]	 Train Acc [93.00%]	 Time [31.68s]
Round [116/200]	 Train Loss [0.1894]	 Train Acc [94.21%]	 Time [31.69s]
Round [117/200]	 Train Loss [0.1883]	 Train Acc [94.14%]	 Time [29.55s]
Round [118/200]	 Train Loss [0.1872]	 Train Acc [94.40%]	 Time [31.58s]
Round [119/200]	 Train Loss [0.1894]	 Train Acc [94.32%]	 Time [37.26s]
Round [120/200]	 Train Loss [0.2548]	 Train Acc [92.18%]	 Time [24.11s]
Round [121/200]	 Train Loss [0.1995]	 Train Acc [93.75%]	 Time [19.67s]
Round [122/200]	 Train Loss [0.2008]	 Train Acc [93.94%]	 Time [24.94s]
Round [123/200]	 Train Loss [0.2118]	 Train Acc [93.56%]	 Time [31.51s]
Round [124/200]	 Train Loss [0.2010]	 Train Acc [93.81%]	 Time [33.64s]
Round [125/200]	 Train Loss [0.1993]	 Train Acc [94.05%]	 Time [40.81s]
Round [126/200]	 Train Loss [0.1885]	 Train Acc [94.22%]	 Time [30.78s]
Round [127/200]	 Train Loss [0.2069]	 Train Acc [93.60%]	 Time [39.65s]
Round [128/200]	 Train Loss [0.1893]	 Train Acc [94.17%]	 Time [31.04s]
Round [129/200]	 Train Loss [0.1963]	 Train Acc [93.97%]	 Time [38.65s]
Round [130/200]	 Train Loss [0.1823]	 Train Acc [94.49%]	 Time [37.13s]
Round [131/200]	 Train Loss [0.2201]	 Train Acc [93.17%]	 Time [42.06s]
Round [132/200]	 Train Loss [0.1935]	 Train Acc [94.00%]	 Time [38.13s]
Round [133/200]	 Train Loss [0.1869]	 Train Acc [94.30%]	 Time [30.48s]
Round [134/200]	 Train Loss [0.1949]	 Train Acc [94.08%]	 Time [39.63s]
Round [135/200]	 Train Loss [0.1842]	 Train Acc [94.30%]	 Time [31.92s]
Round [136/200]	 Train Loss [0.1802]	 Train Acc [94.48%]	 Time [36.68s]
Round [137/200]	 Train Loss [0.1858]	 Train Acc [94.29%]	 Time [34.88s]
Round [138/200]	 Train Loss [0.1711]	 Train Acc [94.79%]	 Time [36.99s]
Round [139/200]	 Train Loss [0.1805]	 Train Acc [94.45%]	 Time [33.54s]
