Training pFedFDA with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [72/200]	 Train Loss [0.2121]	 Train Acc [93.11]	 Train Time [17.57]
Round [73/200]	 Train Loss [0.1973]	 Train Acc [93.77]	 Train Time [40.16]
Round [74/200]	 Train Loss [0.1953]	 Train Acc [93.86]	 Train Time [39.69]
Round [75/200]	 Train Loss [0.2023]	 Train Acc [93.57]	 Train Time [41.52]
Round [76/200]	 Train Loss [0.2018]	 Train Acc [93.78]	 Train Time [32.28]
Round [77/200]	 Train Loss [0.1864]	 Train Acc [94.15]	 Train Time [38.25]
Round [78/200]	 Train Loss [0.1792]	 Train Acc [94.46]	 Train Time [44.65]
Round [79/200]	 Train Loss [0.1804]	 Train Acc [94.28]	 Train Time [44.61]
Round [80/200]	 Train Loss [0.1881]	 Train Acc [94.09]	 Train Time [41.76]
Round [81/200]	 Train Loss [0.1719]	 Train Acc [94.70]	 Train Time [35.42]
Round [82/200]	 Train Loss [0.1890]	 Train Acc [93.99]	 Train Time [43.52]
Round [83/200]	 Train Loss [0.1856]	 Train Acc [94.15]	 Train Time [25.17]
Round [84/200]	 Train Loss [0.1781]	 Train Acc [94.53]	 Train Time [37.26]
Round [85/200]	 Train Loss [0.1591]	 Train Acc [95.14]	 Train Time [41.47]
Round [86/200]	 Train Loss [0.1735]	 Train Acc [94.63]	 Train Time [28.29]
Round [87/200]	 Train Loss [0.1626]	 Train Acc [95.04]	 Train Time [38.90]
Round [88/200]	 Train Loss [0.1755]	 Train Acc [94.59]	 Train Time [29.74]
Round [89/200]	 Train Loss [0.1607]	 Train Acc [95.10]	 Train Time [36.38]
Round [90/200]	 Train Loss [0.1855]	 Train Acc [94.25]	 Train Time [32.24]
Round [91/200]	 Train Loss [0.1946]	 Train Acc [93.92]	 Train Time [25.98]
Round [92/200]	 Train Loss [0.1582]	 Train Acc [95.21]	 Train Time [37.77]
Round [93/200]	 Train Loss [0.1764]	 Train Acc [94.44]	 Train Time [30.15]
Round [94/200]	 Train Loss [0.1548]	 Train Acc [95.24]	 Train Time [44.68]
Round [95/200]	 Train Loss [0.1602]	 Train Acc [95.05]	 Train Time [31.18]
Round [96/200]	 Train Loss [0.1626]	 Train Acc [94.86]	 Train Time [37.53]
Round [97/200]	 Train Loss [0.1725]	 Train Acc [94.56]	 Train Time [43.50]
Round [98/200]	 Train Loss [0.1688]	 Train Acc [94.69]	 Train Time [37.44]
Round [99/200]	 Train Loss [0.1641]	 Train Acc [94.97]	 Train Time [43.76]
Round [100/200]	 Train Loss [0.1613]	 Train Acc [94.83]	 Train Time [30.63]
