Training FedAvg with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [72/200]	 Train Loss [0.7776]	 Train Acc [80.03%]	 Time [34.45s]
Round [73/200]	 Train Loss [0.7312]	 Train Acc [81.05%]	 Time [28.64s]
Round [74/200]	 Train Loss [0.7298]	 Train Acc [81.12%]	 Time [37.20s]
Round [75/200]	 Train Loss [0.7484]	 Train Acc [80.62%]	 Time [30.19s]
Round [76/200]	 Train Loss [0.7410]	 Train Acc [80.98%]	 Time [29.24s]
Round [77/200]	 Train Loss [0.7353]	 Train Acc [81.03%]	 Time [27.53s]
Round [78/200]	 Train Loss [0.7086]	 Train Acc [81.73%]	 Time [21.99s]
Round [79/200]	 Train Loss [0.7153]	 Train Acc [81.37%]	 Time [37.24s]
Round [80/200]	 Train Loss [0.6846]	 Train Acc [82.21%]	 Time [39.40s]
Round [81/200]	 Train Loss [0.7217]	 Train Acc [81.36%]	 Time [24.48s]
Round [82/200]	 Train Loss [0.7286]	 Train Acc [81.24%]	 Time [27.24s]
Round [83/200]	 Train Loss [0.6786]	 Train Acc [82.35%]	 Time [23.77s]
Round [84/200]	 Train Loss [0.6957]	 Train Acc [81.89%]	 Time [22.56s]
Round [85/200]	 Train Loss [0.7045]	 Train Acc [81.93%]	 Time [29.73s]
Round [86/200]	 Train Loss [0.6808]	 Train Acc [82.35%]	 Time [36.44s]
Round [87/200]	 Train Loss [0.6753]	 Train Acc [82.43%]	 Time [32.13s]
Round [88/200]	 Train Loss [0.6775]	 Train Acc [82.37%]	 Time [27.78s]
Round [89/200]	 Train Loss [0.6549]	 Train Acc [82.93%]	 Time [33.97s]
Round [90/200]	 Train Loss [0.6747]	 Train Acc [82.22%]	 Time [38.77s]
Round [91/200]	 Train Loss [0.6580]	 Train Acc [82.95%]	 Time [32.87s]
Round [92/200]	 Train Loss [0.6501]	 Train Acc [83.13%]	 Time [32.34s]
Round [93/200]	 Train Loss [0.6471]	 Train Acc [83.05%]	 Time [28.57s]
Round [94/200]	 Train Loss [0.6559]	 Train Acc [82.87%]	 Time [26.28s]
