Training pFedFDA with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [72/200]	 Train Loss [0.7339]	 Train Acc [79.61]	 Train Time [42.86]
Round [73/200]	 Train Loss [0.7445]	 Train Acc [79.27]	 Train Time [38.98]
Round [74/200]	 Train Loss [0.7319]	 Train Acc [79.70]	 Train Time [42.22]
Round [75/200]	 Train Loss [0.7349]	 Train Acc [79.57]	 Train Time [47.09]
Round [76/200]	 Train Loss [0.7247]	 Train Acc [79.85]	 Train Time [40.53]
Round [77/200]	 Train Loss [0.6835]	 Train Acc [81.01]	 Train Time [36.01]
Round [78/200]	 Train Loss [0.7150]	 Train Acc [80.11]	 Train Time [41.08]
Round [79/200]	 Train Loss [0.6808]	 Train Acc [80.97]	 Train Time [40.29]
Round [80/200]	 Train Loss [0.6856]	 Train Acc [80.72]	 Train Time [43.56]
Round [81/200]	 Train Loss [0.6706]	 Train Acc [81.10]	 Train Time [25.50]
Round [82/200]	 Train Loss [0.6738]	 Train Acc [81.14]	 Train Time [32.79]
Round [83/200]	 Train Loss [0.7011]	 Train Acc [80.48]	 Train Time [38.96]
Round [84/200]	 Train Loss [0.6736]	 Train Acc [81.39]	 Train Time [37.69]
Round [85/200]	 Train Loss [0.6803]	 Train Acc [81.05]	 Train Time [44.18]
Round [86/200]	 Train Loss [0.6638]	 Train Acc [81.36]	 Train Time [43.17]
Round [87/200]	 Train Loss [0.6987]	 Train Acc [80.65]	 Train Time [34.70]
Round [88/200]	 Train Loss [0.6862]	 Train Acc [80.92]	 Train Time [47.44]
Round [89/200]	 Train Loss [0.6398]	 Train Acc [82.01]	 Train Time [27.04]
Round [90/200]	 Train Loss [0.6785]	 Train Acc [81.07]	 Train Time [41.50]
Round [91/200]	 Train Loss [0.6739]	 Train Acc [81.33]	 Train Time [40.91]
Round [92/200]	 Train Loss [0.6333]	 Train Acc [82.15]	 Train Time [42.64]
Round [93/200]	 Train Loss [0.6271]	 Train Acc [82.33]	 Train Time [40.14]
Round [94/200]	 Train Loss [0.6480]	 Train Acc [81.83]	 Train Time [35.68]
Round [95/200]	 Train Loss [0.6384]	 Train Acc [81.98]	 Train Time [32.16]
Round [96/200]	 Train Loss [0.6651]	 Train Acc [81.25]	 Train Time [39.11]
Round [97/200]	 Train Loss [0.6466]	 Train Acc [81.97]	 Train Time [49.22]
Round [98/200]	 Train Loss [0.6323]	 Train Acc [82.11]	 Train Time [39.59]
Round [99/200]	 Train Loss [0.6083]	 Train Acc [82.70]	 Train Time [40.37]
Round [100/200]	 Train Loss [0.6414]	 Train Acc [82.01]	 Train Time [40.22]
Round [101/200]	 Train Loss [0.6248]	 Train Acc [82.48]	 Train Time [44.82]
Round [102/200]	 Train Loss [0.6006]	 Train Acc [83.01]	 Train Time [40.57]
Round [103/200]	 Train Loss [0.6090]	 Train Acc [82.76]	 Train Time [44.03]
Round [104/200]	 Train Loss [0.6141]	 Train Acc [82.58]	 Train Time [43.61]
Round [105/200]	 Train Loss [0.6237]	 Train Acc [82.48]	 Train Time [23.64]
Round [106/200]	 Train Loss [0.5932]	 Train Acc [83.23]	 Train Time [26.98]
Round [107/200]	 Train Loss [0.6163]	 Train Acc [82.80]	 Train Time [41.73]
Round [108/200]	 Train Loss [0.6229]	 Train Acc [82.41]	 Train Time [31.24]
Round [109/200]	 Train Loss [0.6142]	 Train Acc [82.87]	 Train Time [40.95]
Round [110/200]	 Train Loss [0.6063]	 Train Acc [82.86]	 Train Time [42.78]
Round [111/200]	 Train Loss [0.6054]	 Train Acc [83.01]	 Train Time [31.07]
Round [112/200]	 Train Loss [0.5805]	 Train Acc [83.40]	 Train Time [30.87]
Round [113/200]	 Train Loss [0.5866]	 Train Acc [83.38]	 Train Time [44.66]
Round [114/200]	 Train Loss [0.5706]	 Train Acc [83.75]	 Train Time [32.62]
Round [115/200]	 Train Loss [0.6118]	 Train Acc [82.68]	 Train Time [37.34]
Round [116/200]	 Train Loss [0.5773]	 Train Acc [83.56]	 Train Time [35.83]
Round [117/200]	 Train Loss [0.5637]	 Train Acc [83.89]	 Train Time [46.38]
Round [118/200]	 Train Loss [0.5932]	 Train Acc [83.40]	 Train Time [37.15]
Round [119/200]	 Train Loss [0.5524]	 Train Acc [84.10]	 Train Time [32.71]
Round [120/200]	 Train Loss [0.5763]	 Train Acc [83.60]	 Train Time [44.99]
Round [121/200]	 Train Loss [0.5739]	 Train Acc [83.67]	 Train Time [48.76]
Round [122/200]	 Train Loss [0.5572]	 Train Acc [84.04]	 Train Time [48.81]
Round [123/200]	 Train Loss [0.5728]	 Train Acc [83.60]	 Train Time [47.18]
Round [124/200]	 Train Loss [0.5679]	 Train Acc [83.85]	 Train Time [34.82]
Round [125/200]	 Train Loss [0.5595]	 Train Acc [84.05]	 Train Time [54.14]
Round [126/200]	 Train Loss [0.5396]	 Train Acc [84.48]	 Train Time [38.30]
Round [127/200]	 Train Loss [0.5540]	 Train Acc [84.32]	 Train Time [36.01]
Round [128/200]	 Train Loss [0.5467]	 Train Acc [84.47]	 Train Time [48.77]
Round [129/200]	 Train Loss [0.5509]	 Train Acc [84.17]	 Train Time [48.78]
Round [130/200]	 Train Loss [0.5508]	 Train Acc [84.41]	 Train Time [41.83]
Round [131/200]	 Train Loss [0.5381]	 Train Acc [84.70]	 Train Time [46.90]
Round [132/200]	 Train Loss [0.5341]	 Train Acc [84.72]	 Train Time [52.74]
Round [133/200]	 Train Loss [0.5245]	 Train Acc [85.06]	 Train Time [38.10]
Round [134/200]	 Train Loss [0.5479]	 Train Acc [84.35]	 Train Time [29.05]
Round [135/200]	 Train Loss [0.5162]	 Train Acc [85.20]	 Train Time [35.82]
Round [136/200]	 Train Loss [0.5343]	 Train Acc [84.62]	 Train Time [46.78]
Round [137/200]	 Train Loss [0.5297]	 Train Acc [84.84]	 Train Time [36.76]
Round [138/200]	 Train Loss [0.5609]	 Train Acc [84.12]	 Train Time [32.19]
Round [139/200]	 Train Loss [0.5132]	 Train Acc [85.36]	 Train Time [36.69]
Round [140/200]	 Train Loss [0.5561]	 Train Acc [84.17]	 Train Time [33.82]
Round [141/200]	 Train Loss [0.5259]	 Train Acc [84.86]	 Train Time [32.54]
Round [142/200]	 Train Loss [0.5212]	 Train Acc [85.10]	 Train Time [40.75]
Round [143/200]	 Train Loss [0.5469]	 Train Acc [84.31]	 Train Time [39.05]
Round [144/200]	 Train Loss [0.5274]	 Train Acc [84.81]	 Train Time [50.55]
Round [145/200]	 Train Loss [0.5257]	 Train Acc [84.93]	 Train Time [35.22]
Round [146/200]	 Train Loss [0.5342]	 Train Acc [84.67]	 Train Time [40.31]
Round [147/200]	 Train Loss [0.5198]	 Train Acc [85.01]	 Train Time [35.82]
Round [148/200]	 Train Loss [0.5307]	 Train Acc [84.74]	 Train Time [37.21]
Round [149/200]	 Train Loss [0.5248]	 Train Acc [85.02]	 Train Time [36.31]
Round [150/200]	 Train Loss [0.5089]	 Train Acc [85.28]	 Train Time [45.23]
Round [151/200]	 Train Loss [0.5202]	 Train Acc [85.04]	 Train Time [46.44]
Round [152/200]	 Train Loss [0.5036]	 Train Acc [85.47]	 Train Time [39.35]
Round [153/200]	 Train Loss [0.5190]	 Train Acc [84.93]	 Train Time [33.21]
Round [154/200]	 Train Loss [0.5096]	 Train Acc [85.40]	 Train Time [49.30]
Round [155/200]	 Train Loss [0.5153]	 Train Acc [85.11]	 Train Time [54.15]
Round [156/200]	 Train Loss [0.4808]	 Train Acc [86.03]	 Train Time [43.59]
Round [157/200]	 Train Loss [0.5092]	 Train Acc [85.38]	 Train Time [38.89]
Round [158/200]	 Train Loss [0.5040]	 Train Acc [85.54]	 Train Time [43.75]
Round [159/200]	 Train Loss [0.5067]	 Train Acc [85.48]	 Train Time [47.61]
Round [160/200]	 Train Loss [0.4997]	 Train Acc [85.50]	 Train Time [48.93]
Round [161/200]	 Train Loss [0.5164]	 Train Acc [85.16]	 Train Time [43.18]
Round [162/200]	 Train Loss [0.4999]	 Train Acc [85.46]	 Train Time [45.09]
Round [163/200]	 Train Loss [0.5139]	 Train Acc [85.15]	 Train Time [33.92]
Round [164/200]	 Train Loss [0.4980]	 Train Acc [85.57]	 Train Time [40.52]
Round [165/200]	 Train Loss [0.5085]	 Train Acc [85.34]	 Train Time [32.72]
Round [166/200]	 Train Loss [0.4931]	 Train Acc [85.79]	 Train Time [42.76]
Round [167/200]	 Train Loss [0.5017]	 Train Acc [85.59]	 Train Time [41.17]
Round [168/200]	 Train Loss [0.4782]	 Train Acc [86.30]	 Train Time [44.00]
Round [169/200]	 Train Loss [0.4837]	 Train Acc [85.97]	 Train Time [35.88]
Round [170/200]	 Train Loss [0.5036]	 Train Acc [85.54]	 Train Time [63.17]
Round [171/200]	 Train Loss [0.4706]	 Train Acc [86.41]	 Train Time [37.44]
Round [172/200]	 Train Loss [0.4890]	 Train Acc [85.81]	 Train Time [33.60]
Round [173/200]	 Train Loss [0.5289]	 Train Acc [84.97]	 Train Time [37.20]
Round [174/200]	 Train Loss [0.5053]	 Train Acc [85.39]	 Train Time [37.27]
Round [175/200]	 Train Loss [0.4685]	 Train Acc [86.45]	 Train Time [33.79]
Round [176/200]	 Train Loss [0.4723]	 Train Acc [86.11]	 Train Time [33.56]
Round [177/200]	 Train Loss [0.5039]	 Train Acc [85.57]	 Train Time [44.27]
Round [178/200]	 Train Loss [0.4831]	 Train Acc [86.04]	 Train Time [46.68]
Round [179/200]	 Train Loss [0.4914]	 Train Acc [85.82]	 Train Time [37.97]
Round [180/200]	 Train Loss [0.4962]	 Train Acc [85.78]	 Train Time [38.96]
Round [181/200]	 Train Loss [0.4696]	 Train Acc [86.38]	 Train Time [38.04]
Round [182/200]	 Train Loss [0.4844]	 Train Acc [85.96]	 Train Time [40.18]
Round [183/200]	 Train Loss [0.4829]	 Train Acc [85.91]	 Train Time [29.16]
Round [184/200]	 Train Loss [0.5049]	 Train Acc [85.48]	 Train Time [47.54]
Round [185/200]	 Train Loss [0.4953]	 Train Acc [85.71]	 Train Time [38.02]
