Training FedAvg with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [0.6647]	 Train Acc [78.93]	 Train Time [96.39]
Round [2/200]	 Train Loss [0.7057]	 Train Acc [76.57]	 Train Time [35.16]
Round [3/200]	 Train Loss [0.5374]	 Train Acc [82.81]	 Train Time [32.25]
Round [4/200]	 Train Loss [0.5733]	 Train Acc [81.01]	 Train Time [25.26]
Round [5/200]	 Train Loss [0.5017]	 Train Acc [84.33]	 Train Time [30.71]
Round [6/200]	 Train Loss [0.5550]	 Train Acc [81.38]	 Train Time [29.42]
Round [7/200]	 Train Loss [0.5154]	 Train Acc [83.23]	 Train Time [34.74]
Round [8/200]	 Train Loss [0.3819]	 Train Acc [87.59]	 Train Time [40.44]
Round [9/200]	 Train Loss [0.4285]	 Train Acc [86.24]	 Train Time [34.94]
Round [10/200]	 Train Loss [0.4647]	 Train Acc [84.72]	 Train Time [41.77]
Round [11/200]	 Train Loss [0.4699]	 Train Acc [84.15]	 Train Time [37.22]
Round [12/200]	 Train Loss [0.4959]	 Train Acc [84.20]	 Train Time [30.94]
Round [13/200]	 Train Loss [0.5147]	 Train Acc [83.46]	 Train Time [26.75]
Round [14/200]	 Train Loss [0.5530]	 Train Acc [81.98]	 Train Time [22.98]
Round [15/200]	 Train Loss [0.4248]	 Train Acc [86.25]	 Train Time [29.43]
Round [16/200]	 Train Loss [0.4117]	 Train Acc [86.35]	 Train Time [38.14]
Round [17/200]	 Train Loss [0.3405]	 Train Acc [89.07]	 Train Time [37.88]
Round [18/200]	 Train Loss [0.4070]	 Train Acc [87.22]	 Train Time [29.59]
Round [19/200]	 Train Loss [0.3221]	 Train Acc [89.60]	 Train Time [25.28]
Round [20/200]	 Train Loss [0.4249]	 Train Acc [86.34]	 Test Loss [2.3084|0.4279]	 Test Acc [10.04(19.45)|86.25(22.91)]	 Train Time [30.54]
Round [21/200]	 Train Loss [0.4156]	 Train Acc [86.79]	 Train Time [30.73]
Round [22/200]	 Train Loss [0.3448]	 Train Acc [89.03]	 Train Time [36.57]
Round [23/200]	 Train Loss [0.3426]	 Train Acc [89.21]	 Train Time [30.31]
Round [24/200]	 Train Loss [0.3592]	 Train Acc [88.69]	 Train Time [35.39]
Round [25/200]	 Train Loss [0.3871]	 Train Acc [87.45]	 Train Time [37.15]
Round [26/200]	 Train Loss [0.3254]	 Train Acc [89.71]	 Train Time [30.27]
Round [27/200]	 Train Loss [0.3411]	 Train Acc [89.06]	 Train Time [46.92]
Round [28/200]	 Train Loss [0.3193]	 Train Acc [89.90]	 Train Time [33.90]
Round [29/200]	 Train Loss [0.3267]	 Train Acc [89.70]	 Train Time [36.02]
Round [30/200]	 Train Loss [0.3698]	 Train Acc [88.28]	 Train Time [28.34]
Round [31/200]	 Train Loss [0.3538]	 Train Acc [88.62]	 Train Time [22.77]
Round [32/200]	 Train Loss [0.2915]	 Train Acc [90.85]	 Train Time [33.52]
Round [33/200]	 Train Loss [0.3491]	 Train Acc [89.10]	 Train Time [31.64]
Round [34/200]	 Train Loss [0.3369]	 Train Acc [89.14]	 Train Time [26.49]
Round [35/200]	 Train Loss [0.2650]	 Train Acc [91.74]	 Train Time [43.40]
Round [36/200]	 Train Loss [0.4366]	 Train Acc [86.07]	 Train Time [23.54]
Round [37/200]	 Train Loss [0.2958]	 Train Acc [90.56]	 Train Time [43.77]
Round [38/200]	 Train Loss [0.2821]	 Train Acc [91.00]	 Train Time [30.93]
Round [39/200]	 Train Loss [0.3421]	 Train Acc [88.76]	 Train Time [35.38]
Round [40/200]	 Train Loss [0.3292]	 Train Acc [89.26]	 Test Loss [2.3291|0.4179]	 Test Acc [9.55(20.15)|87.99(22.86)]	 Train Time [31.01]
Round [41/200]	 Train Loss [0.3507]	 Train Acc [89.16]	 Train Time [36.49]
Round [42/200]	 Train Loss [0.2707]	 Train Acc [91.61]	 Train Time [45.96]
Round [43/200]	 Train Loss [0.2890]	 Train Acc [91.20]	 Train Time [29.03]
Round [44/200]	 Train Loss [0.3598]	 Train Acc [88.57]	 Train Time [27.91]
Round [45/200]	 Train Loss [0.3667]	 Train Acc [88.68]	 Train Time [21.67]
Round [46/200]	 Train Loss [0.3793]	 Train Acc [88.21]	 Train Time [21.88]
Round [47/200]	 Train Loss [0.2806]	 Train Acc [91.20]	 Train Time [36.75]
Round [48/200]	 Train Loss [0.2707]	 Train Acc [91.36]	 Train Time [33.63]
Round [49/200]	 Train Loss [0.2808]	 Train Acc [91.25]	 Train Time [35.97]
Round [50/200]	 Train Loss [0.4134]	 Train Acc [86.88]	 Train Time [20.72]
Round [51/200]	 Train Loss [0.3093]	 Train Acc [90.27]	 Train Time [34.68]
Round [52/200]	 Train Loss [0.3262]	 Train Acc [89.66]	 Train Time [29.56]
Round [53/200]	 Train Loss [0.3673]	 Train Acc [88.35]	 Train Time [25.63]
Round [54/200]	 Train Loss [0.2586]	 Train Acc [91.85]	 Train Time [44.93]
Round [55/200]	 Train Loss [0.3289]	 Train Acc [89.73]	 Train Time [38.11]
Round [56/200]	 Train Loss [0.2566]	 Train Acc [92.27]	 Train Time [22.97]
Round [57/200]	 Train Loss [0.3989]	 Train Acc [87.52]	 Train Time [21.65]
Round [58/200]	 Train Loss [0.4478]	 Train Acc [86.22]	 Train Time [16.28]
Round [59/200]	 Train Loss [0.2676]	 Train Acc [91.65]	 Train Time [28.60]
Round [60/200]	 Train Loss [0.2927]	 Train Acc [90.73]	 Test Loss [2.3249|0.3998]	 Test Acc [9.81(21.79)|88.28(23.75)]	 Train Time [34.27]
Round [61/200]	 Train Loss [0.3274]	 Train Acc [89.82]	 Train Time [28.72]
Round [62/200]	 Train Loss [0.3317]	 Train Acc [89.77]	 Train Time [27.10]
Round [63/200]	 Train Loss [0.2354]	 Train Acc [92.76]	 Train Time [36.44]
Round [64/200]	 Train Loss [0.2240]	 Train Acc [93.09]	 Train Time [48.28]
Round [65/200]	 Train Loss [0.2618]	 Train Acc [91.89]	 Train Time [37.53]
Round [66/200]	 Train Loss [0.3186]	 Train Acc [90.17]	 Train Time [21.86]
Round [67/200]	 Train Loss [0.2452]	 Train Acc [92.48]	 Train Time [42.37]
Round [68/200]	 Train Loss [0.2456]	 Train Acc [92.50]	 Train Time [40.60]
Round [69/200]	 Train Loss [0.3195]	 Train Acc [89.99]	 Train Time [30.42]
Round [70/200]	 Train Loss [0.2869]	 Train Acc [91.10]	 Train Time [33.22]
Round [71/200]	 Train Loss [0.2609]	 Train Acc [91.95]	 Train Time [38.64]
Round [72/200]	 Train Loss [0.2664]	 Train Acc [91.95]	 Train Time [25.17]
Round [73/200]	 Train Loss [0.2966]	 Train Acc [90.82]	 Train Time [37.56]
